year,ref_number,utm_easting,utm_northing,num_vehicles,num_casualties,accident_date,time,time_mins,first_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,casualty_sex,casualty_age,vehicle_type
2009,329409,430646,434654,4,3,4/25/09,2350,1430,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,28,9
2009,329409,430646,434654,4,3,4/25/09,2350,1430,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,31,9
2009,511409,424127,444004,2,2,6/26/09,2350,1430,3,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,36,9
2009,511409,424127,444004,2,2,6/26/09,2350,1430,3,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,49,9
2009,544409,425239,439474,1,1,7/08/09,2350,1430,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,44,9
2009,917009,431167,434976,2,1,11/06/09,2350,1430,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,27,9
2010,10CA0002001,426313,426961,2,1,3/19/10,2350,1430,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,41,9
2010,10AA0002320,426968,439828,2,1,3/27/10,2350,1430,3,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Female,19,9
2010,10MU0004133,444817,432313,1,1,5/25/10,2350,1430,2,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Female,19,9
2010,10BA0005006,437471,444522,1,1,7/12/10,2350,1430,3,Dry,Darkness: no street lighting,Fine without high winds,Driver or rider,Slight,Male,23,9
2010,10BA0006013,430911,435570,1,1,9/10/10,2350,1430,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,43,9
2010,10AA0497652,429579,434770,1,1,11/20/10,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,25,9
2011,110141883,430075,433856,1,1,3/26/11,2350,1430,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,28,9
2011,110368530,428395,434648,2,2,8/10/11,2350,1430,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,35,9
2011,110368530,428395,434648,2,2,8/10/11,2350,1430,6,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Female,37,9
2011,110419263,422045,438841,1,1,9/11/11,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Female,31,9
2012,120155437,429769,430607,3,5,4/07/12,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,31,9
2012,120155437,429769,430607,3,5,4/07/12,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,50,8
2012,120155437,429769,430607,3,5,4/07/12,2350,1430,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Female,19,9
