year,ref_number,utm_easting,utm_northing,num_vehicles,num_casualties,accident_date,time,time_mins,first_road_class,road_surface,lighting_conditions,weather_conditions,casualty_class,casualty_severity,casualty_sex,casualty_age,vehicle_type
2010,10MU0006691,424189,427919,2,1,10/29/10,1714,1034,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,36,9
2011,110043438,421076,435274,3,2,1/27/11,1714,1034,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,36,9
2011,110043438,421076,435274,3,2,1/27/11,1714,1034,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,49,9
2011,110162112,440460,428794,2,1,4/07/11,1714,1034,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,9,1
2013,130271340,428472,435200,2,1,7/01/13,1714,1034,6,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,9
2013,130505775,428006,435409,2,3,12/09/13,1714,1034,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,21,9
2013,130505775,428006,435409,2,3,12/09/13,1714,1034,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,21,9
2013,130505775,428006,435409,2,3,12/09/13,1714,1034,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,9
2009,134809,435523,433650,1,1,2/17/09,1713,1033,6,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Serious,Female,79,8
2009,902509,438955,426120,2,1,11/03/09,1713,1033,4,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,36,19
2012,120564333,430186,433934,1,1,12/31/12,1713,1033,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,33,9
2013,130296992,421038,444615,2,1,7/18/13,1713,1033,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,40,1
2009,443109,432542,434154,1,1,5/21/09,1712,1032,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,7,9
2011,110203731,422407,428984,2,1,5/04/11,1712,1032,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,5
2012,120283720,431879,430498,2,3,7/01/12,1712,1032,1,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,32,9
2012,120283720,431879,430498,2,3,7/01/12,1712,1032,1,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Female,54,9
2012,120283720,431879,430498,2,3,7/01/12,1712,1032,1,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Male,44,9
2013,130089835,429587,430994,2,1,2/28/13,1712,1032,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,40,9
2012,120320516,422041,432478,2,1,7/24/12,1711,1031,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,9,1
2012,120334152,425955,444833,3,2,8/01/12,1711,1031,3,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,44,19
2012,120334152,425955,444833,3,2,8/01/12,1711,1031,3,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,48,19
2013,130012940,427034,432971,2,2,1/09/13,1711,1031,6,Dry,Darkness: street lights present but unlit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,19,8
2013,130012940,427034,432971,2,2,1/09/13,1711,1031,6,Dry,Darkness: street lights present but unlit,Fine without high winds,Vehicle or pillion passenger,Slight,Male,20,8
2013,130203249,416576,441777,2,1,5/16/13,1711,1031,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,69,9
2009,86809,423618,434131,1,1,1/08/09,1710,1030,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,7,9
2009,100809,432521,434724,2,1,2/06/09,1710,1030,4,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,36,5
2009,127409,429321,428159,1,1,2/15/09,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,19,9
2009,327809,432298,434645,1,1,4/23/09,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,1,9
2009,474709,427074,433507,1,1,5/05/09,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,36,9
2009,434809,427296,433634,2,1,6/01/09,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,38,3
2009,496009,430739,434770,2,1,6/17/09,1710,1030,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,31,9
2009,573209,428519,434663,1,1,7/18/09,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,43,9
2009,672409,428860,433945,2,1,8/19/09,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,1
2009,677609,426172,427422,2,1,8/21/09,1710,1030,4,Wet / Damp,Daylight: street lights present,Raining without high winds,Driver or rider,Slight,Male,19,3
2009,747409,436034,434795,1,1,9/07/09,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,17,9
2009,770709,436856,428985,2,1,9/21/09,1710,1030,3,Dry,Daylight: street lights present,Raining without high winds,Vehicle or pillion passenger,Slight,Female,25,9
2009,898809,423343,437654,2,2,11/03/09,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,27,9
2009,898809,423343,437654,2,2,11/03/09,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Male,29,9
2010,10CA0000481,431038,430851,1,1,1/21/10,1710,1030,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Female,13,9
2010,10BA0000666,439583,439392,1,1,1/30/10,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,49,9
2010,10AA0002221,426284,435585,2,1,3/11/10,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,27,9
2010,10CA0001846,432296,427197,2,1,3/13/10,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,45,5
2010,10CA0002341,430022,433781,2,1,3/22/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,39,1
2010,10BA0002585,432972,435577,1,1,4/10/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,9
2010,10AA0002863,426431,431881,2,1,4/12/10,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,11,9
2010,10AA0003042,428272,432846,1,1,4/27/10,1710,1030,4,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,2,11
2010,10CA0003733,431952,430324,1,1,5/17/10,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,38,21
2010,10BA0004032,436366,436540,1,1,5/28/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,9
2010,10BA0004039,442629,426475,2,3,5/29/10,1710,1030,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,43,9
2010,10BA0004039,442629,426475,2,3,5/29/10,1710,1030,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,32,9
2010,10BA0004039,442629,426475,2,3,5/29/10,1710,1030,3,Wet / Damp,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Female,4,9
2010,10BA0004715,430630,437289,1,1,6/27/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,17,9
2010,10BA0005515,434956,437594,1,1,8/03/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,10,2
2010,10CA0005469,430170,431298,2,1,8/03/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,7,9
2010,10CA0005661,430665,433656,2,1,8/17/10,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,1
2010,10BA0006266,429761,437686,1,2,9/28/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,38,9
2010,10BA0006266,429761,437686,1,2,9/28/10,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,3,9
2010,10AA0006534,427824,436514,2,1,10/04/10,1710,1030,4,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,30,1
2010,10CA0006530,431041,431368,2,1,10/15/10,1710,1030,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,48,5
2010,10BA0006794,435940,435467,2,1,11/08/10,1710,1030,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Slight,Male,21,1
2011,110010537,430403,430991,2,2,1/08/11,1710,1030,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,18,9
2011,110010537,430403,430991,2,2,1/08/11,1710,1030,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,34,9
2011,110064617,420262,445368,1,1,2/05/11,1710,1030,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,57,9
2011,110075649,421177,435075,1,1,2/14/11,1710,1030,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,4,9
2011,110148122,432179,434625,1,1,3/30/11,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,26,9
2011,110275596,429656,431617,1,1,6/16/11,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,20,9
2011,110346636,435302,431295,1,1,7/28/11,1710,1030,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,24,9
2011,110457619,422101,434127,2,1,10/05/11,1710,1030,4,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,50,5
2011,110481857,428836,434631,3,2,10/20/11,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,20,9
2011,110481857,428836,434631,3,2,10/20/11,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,23,9
2011,110514941,431847,434168,2,1,11/08/11,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Slight,Female,24,9
2012,120006428,428196,434479,1,1,1/05/12,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Serious,Male,64,1
2012,120030754,438719,427057,2,1,1/20/12,1710,1030,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,48,1
2012,120201366,429454,431187,1,1,5/08/12,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,3,9
2012,120360252,428188,435070,1,2,8/18/12,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,10,9
2012,120360252,428188,435070,1,2,8/18/12,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,2,9
2012,120374381,425958,431913,1,1,8/28/12,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,4,3
2012,120476665,431310,435038,1,3,11/01/12,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,42,3
2012,120476665,431310,435038,1,3,11/01/12,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Female,28,3
2012,120476665,431310,435038,1,3,11/01/12,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,18,3
2012,120483805,428260,433469,3,2,11/06/12,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,40,9
2012,120483805,428260,433469,3,2,11/06/12,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,23,9
2012,120487143,424025,428093,3,1,11/08/12,1710,1030,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,40,9
2013,130060327,426152,433158,2,1,2/09/13,1710,1030,6,Dry,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Serious,Male,21,4
2013,130184365,431519,435143,2,1,5/02/13,1710,1030,3,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Serious,Male,44,1
2013,130265554,431602,435341,1,1,6/27/13,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,4,9
2013,130269706,425644,428683,1,1,6/30/13,1710,1030,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Male,8,9
2013,130281807,443063,433537,2,3,7/08/13,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,27,9
2013,130281807,443063,433537,2,3,7/08/13,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,23,9
2013,130281807,443063,433537,2,3,7/08/13,1710,1030,3,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,23,9
2013,130298214,430959,435782,2,1,7/15/13,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,48,1
2013,130347742,430641,434708,2,1,8/22/13,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,45,1
2013,130357575,441568,430506,2,1,8/29/13,1710,1030,4,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,46,9
2013,130397851,420402,445352,2,1,9/26/13,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,52,1
2013,130450780,429851,435712,2,1,11/01/13,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Serious,Male,26,3
2013,130500451,434777,435050,1,1,12/05/13,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,2,9
2013,130517390,420697,440893,1,1,12/16/13,1710,1030,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,16,9
2009,497009,430131,432173,2,1,6/18/09,1709,1029,3,Dry,Daylight: street lights present,Fine with high winds,Driver or rider,Slight,Male,29,4
2009,604509,430881,436221,1,1,7/26/09,1709,1029,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,12,9
2010,10CA0000731,430414,433703,1,1,2/01/10,1709,1029,6,Dry,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Male,62,9
2011,110418917,441450,434619,1,1,9/11/11,1709,1029,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,64,9
2011,110574385,427033,426071,2,1,12/16/11,1709,1029,1,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,44,9
2013,130161062,429149,433851,2,1,4/18/13,1709,1029,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,26,3
2010,10AA0004785,423479,434610,4,1,7/01/10,1708,1028,6,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,19,9
2011,110352625,424279,428344,2,1,7/30/11,1708,1028,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,48,5
2013,130454937,426989,433437,2,1,11/04/13,1708,1028,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,54,9
2009,120809,430560,431438,2,1,2/11/09,1707,1027,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,30,9
2009,1101409,431419,434085,2,1,12/28/09,1707,1027,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Vehicle or pillion passenger,Slight,Female,41,9
2012,120145253,432074,433352,2,1,3/31/12,1707,1027,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,11,1
2013,130189362,431139,434949,1,1,5/07/13,1707,1027,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Serious,Female,29,9
2009,264709,431235,432323,2,1,4/03/09,1706,1026,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,5
2012,120074400,430686,434136,2,1,2/17/12,1706,1026,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,29,90
2013,130114373,429030,426420,3,1,3/15/13,1706,1026,1,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,47,9
2013,130295403,428285,433514,3,1,7/17/13,1706,1026,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,37,9
2009,102909,437021,429229,3,1,2/06/09,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,43,9
2009,629609,432723,438295,2,1,8/04/09,1705,1025,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,25,9
2009,662109,421421,439478,1,1,8/09/09,1705,1025,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,9,9
2009,855709,430945,433298,2,1,10/17/09,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,29,9
2009,891109,430541,431257,2,2,10/26/09,1705,1025,1,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,26,9
2009,891109,430541,431257,2,2,10/26/09,1705,1025,1,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,26,9
2009,911409,429695,433797,1,1,11/05/09,1705,1025,6,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Pedestrian,Slight,Male,35,9
2009,933109,420560,437108,1,1,11/08/09,1705,1025,3,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Vehicle or pillion passenger,Serious,Male,26,9
2009,935809,428047,432832,3,2,11/09/09,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,39,9
2009,935809,428047,432832,3,2,11/09/09,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,24,9
2009,992609,427833,436514,2,1,11/20/09,1705,1025,4,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,43,1
2009,993509,424958,430951,3,1,11/29/09,1705,1025,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Driver or rider,Serious,Male,55,9
2009,1014509,434456,433702,2,2,12/04/09,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,60,9
2009,1014509,434456,433702,2,2,12/04/09,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,35,8
2010,10AA0002071,428241,435028,1,1,3/07/10,1705,1025,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Female,5,9
2010,10CA0001924,426455,428516,2,1,3/09/10,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,47,9
2010,10CA0002166,429701,433432,1,1,3/23/10,1705,1025,6,Wet / Damp,Daylight: street lights present,Raining without high winds,Pedestrian,Slight,Female,28,9
2010,10AA0003988,421125,434478,2,4,5/29/10,1705,1025,4,Wet / Damp,Daylight: street lights present,Other,Driver or rider,Slight,Female,27,9
2010,10AA0003988,421125,434478,2,4,5/29/10,1705,1025,4,Wet / Damp,Daylight: street lights present,Other,Driver or rider,Slight,Male,18,9
2010,10AA0003988,421125,434478,2,4,5/29/10,1705,1025,4,Wet / Damp,Daylight: street lights present,Other,Vehicle or pillion passenger,Slight,Male,17,9
2010,10AA0003988,421125,434478,2,4,5/29/10,1705,1025,4,Wet / Damp,Daylight: street lights present,Other,Vehicle or pillion passenger,Slight,Male,17,9
2010,10BA0004409,433168,434012,2,1,6/15/10,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,27,3
2010,10CA0006169,430796,433451,1,1,9/17/10,1705,1025,6,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,67,11
2010,10AA0006414,418314,441767,2,1,10/10/10,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,51,1
2010,10BA0006620,428990,436846,1,1,10/21/10,1705,1025,4,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,11,9
2010,10BA0006731,439919,437247,2,2,11/01/10,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,36,9
2010,10BA0006731,439919,437247,2,2,11/01/10,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,49,9
2010,10MU0006906,433599,425862,5,4,11/17/10,1705,1025,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,59,9
2010,10MU0006906,433599,425862,5,4,11/17/10,1705,1025,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,29,9
2010,10MU0006906,433599,425862,5,4,11/17/10,1705,1025,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Male,35,9
2010,10MU0006906,433599,425862,5,4,11/17/10,1705,1025,1,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Female,66,9
2010,10CA0515735,428049,434300,2,2,12/02/10,1705,1025,3,Snow,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,19,9
2010,10CA0515735,428049,434300,2,2,12/02/10,1705,1025,3,Snow,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Slight,Male,23,19
2011,110087385,429559,432368,2,2,2/22/11,1705,1025,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,50,9
2011,110087385,429559,432368,2,2,2/22/11,1705,1025,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,49,9
2011,110104711,438951,431551,2,1,3/04/11,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,39,9
2011,110255517,428847,440091,1,1,6/03/11,1705,1025,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Female,13,9
2011,110287130,431088,433356,2,1,6/23/11,1705,1025,6,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,61,9
2011,110308516,427657,436653,2,1,7/06/11,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,1
2011,110331753,431432,435098,1,1,7/19/11,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Slight,Male,45,9
2011,110366573,433941,434109,2,3,8/09/11,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,39,9
2011,110366573,433941,434109,2,3,8/09/11,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Vehicle or pillion passenger,Slight,Male,45,9
2011,110366573,433941,434109,2,3,8/09/11,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,55,21
2011,110501728,426753,427783,4,1,11/01/11,1705,1025,6,Dry,Darkness: street lights present and lit,Fine without high winds,Driver or rider,Serious,Female,17,2
2011,110554323,436828,433635,1,1,12/03/11,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Fine with high winds,Pedestrian,Serious,Male,13,9
2011,110566152,425006,434371,1,1,12/10/11,1705,1025,3,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Male,49,9
2011,110578542,422751,432257,1,1,12/19/11,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Pedestrian,Serious,Male,74,9
2012,120005656,429403,433464,2,2,1/04/12,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Driver or rider,Slight,Female,46,9
2012,120005656,429403,433464,2,2,1/04/12,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Raining with high winds,Vehicle or pillion passenger,Slight,Female,20,9
2012,120075924,434031,433939,1,1,2/18/12,1705,1025,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,5,9
2012,120102903,429220,426405,4,2,3/05/12,1705,1025,1,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,62,9
2012,120102903,429220,426405,4,2,3/05/12,1705,1025,1,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,25,9
2012,120122366,424978,433048,3,1,3/17/12,1705,1025,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,30,9
2012,120130687,426986,433434,2,1,3/22/12,1705,1025,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,56,1
2012,120178750,433455,427642,2,1,4/23/12,1705,1025,3,Wet / Damp,Darkness: street lighting unknown,Raining without high winds,Vehicle or pillion passenger,Slight,Male,6,9
2012,120277686,425902,439423,2,2,6/27/12,1705,1025,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,28,9
2012,120277686,425902,439423,2,2,6/27/12,1705,1025,6,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,54,9
2012,120475052,421904,432535,1,1,10/31/12,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Pedestrian,Slight,Female,20,9
2013,130045756,423729,437373,1,1,1/31/13,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Serious,Male,6,9
2013,130090846,430327,433897,1,1,2/28/13,1705,1025,6,Dry,Darkness: street lighting unknown,Fine without high winds,Pedestrian,Slight,Male,31,9
2013,130122503,428687,434941,2,1,3/21/13,1705,1025,6,Wet / Damp,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Male,23,9
2013,130226176,443319,438968,2,1,6/01/13,1705,1025,2,Dry,Darkness: street lighting unknown,Fine without high winds,Driver or rider,Slight,Female,28,10
2013,130313092,429948,433100,2,1,7/29/13,1705,1025,6,Wet / Damp,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,58,9
2013,130349301,430713,434849,2,1,8/23/13,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,32,1
2013,130378932,428546,431408,2,1,9/12/13,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Female,41,9
2013,130393408,422529,433997,1,2,9/23/13,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,38,9
2013,130393408,422529,433997,1,2,9/23/13,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Pedestrian,Serious,Male,43,9
2013,130402294,427607,434510,2,1,9/27/13,1705,1025,3,Dry,Daylight: street lights present,Fine without high winds,Driver or rider,Slight,Male,46,1
2013,130520462,426988,433436,2,1,12/19/13,1705,1025,6,Wet / Damp,Darkness: street lights present and lit,Raining without high winds,Vehicle or pillion passenger,Slight,Male,40,9
2013,130524404,430724,433756,1,1,12/22/13,1705,1025,3,Wet / Damp,Darkness: street lights present and lit,Fine without high winds,Pedestrian,Slight,Female,22,9
2013,130533794,431836,435979,2,1,12/31/13,1705,1025,4,Wet / Damp,Darkness: street lights present and lit,Other,Driver or rider,Slight,Female,27,9
